hour,node,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan
2024-11-04 16:00:00,node-15,0.041666666666666664,1.0,3.0,4.0,36.16833333333333,6863.0,0.0,0.0
2024-11-04 16:00:00,node-141,1.01,2.0,2.0,4.0,73.38666666666667,376.3333333333333,1.4166666666666667,29.0
2024-11-04 16:00:00,node-14,95.07416666666667,95.0,1.0,96.0,,,,
2024-11-04 16:00:00,node-13,44.134166666666665,44.0,0.0,44.0,,,,
2024-11-04 16:00:00,node-12,44.18333333333334,44.0,0.0,44.0,,,,
2024-11-04 16:00:00,node-11,44.13083333333333,44.0,0.0,44.0,,,,
2024-11-04 16:00:00,node-164,1.0208333333333333,2.0,2.0,4.0,64.685,296.0,1.75,0.0
2024-11-04 17:00:00,node-141,1.0058333333333334,2.0,2.0,4.0,72.70916666666666,295.8333333333333,1.4166666666666667,29.0
2024-11-04 17:00:00,node-11,44.112500000000004,44.0,0.0,44.0,,,,
2024-11-04 17:00:00,node-12,44.16833333333333,44.0,0.0,44.0,,,,
2024-11-04 17:00:00,node-13,44.10666666666666,44.0,0.0,44.0,,,,
2024-11-04 17:00:00,node-14,95.86333333333334,95.08333333333333,0.9166666666666666,96.0,,,,
2024-11-04 17:00:00,node-15,0.035833333333333335,1.0,3.0,4.0,36.19916666666666,6863.0,0.0,0.0
2024-11-04 17:00:00,node-161,2.7925,3.1666666666666665,0.8333333333333334,4.0,59.25,282.5,14.833333333333334,0.0
2024-11-04 17:00:00,node-18,27.455833333333334,36.0,0.0,36.0,,,,
2024-11-04 17:00:00,node-16,0.0008333333333333334,0.0,4.0,4.0,34.520833333333336,1.0,0.0,0.0
2024-11-04 17:00:00,node-32,25.388333333333332,30.0,2.0,32.0,76.3240625,9002.5625,11.427083333333334,0.0
2024-11-04 17:00:00,node-19,75.80583333333333,78.41666666666667,1.5833333333333333,80.0,,,,
2024-11-04 17:00:00,node-172,0.0,0.0,4.0,4.0,54.89666666666667,1.0,0.0,30.0
2024-11-04 17:00:00,node-171,0.0008333333333333334,0.0,4.0,4.0,59.880833333333335,1.0,0.0,30.0
2024-11-04 17:00:00,node-168,1.0158333333333334,2.0,2.0,4.0,58.66916666666666,296.1666666666667,1.75,0.0
2024-11-04 17:00:00,node-17,36.0,36.0,0.0,36.0,,,,
2024-11-04 17:00:00,node-166,1.0191666666666668,2.0,2.0,4.0,75.7175,293.3333333333333,1.75,0.0
2024-11-04 17:00:00,node-165,4.008333333333334,4.0,0.0,4.0,,,,
2024-11-04 17:00:00,node-164,1.0216666666666667,2.0,2.0,4.0,60.044999999999995,299.3333333333333,1.0,0.0
2024-11-04 17:00:00,node-163,4.0,4.0,0.0,4.0,,,,
2024-11-04 17:00:00,node-162,3.733333333333333,4.0,0.0,4.0,112.49916666666667,7397.0,28.833333333333332,0.0
2024-11-04 17:00:00,node-167,4.009166666666666,4.0,0.0,4.0,,,,
2024-11-04 18:00:00,node-17,36.00083333333333,36.0,0.0,36.0,,,,
2024-11-04 18:00:00,node-168,1.0225,2.0,2.0,4.0,63.229166666666664,295.3333333333333,1.5,0.0
2024-11-04 18:00:00,node-171,0.0,0.0,4.0,4.0,59.642500000000005,1.0,0.0,30.0
2024-11-04 18:00:00,node-167,4.013333333333333,4.0,0.0,4.0,,,,
2024-11-04 18:00:00,node-18,26.049166666666665,36.0,0.0,36.0,,,,
2024-11-04 18:00:00,node-19,78.95416666666667,79.0,1.0,80.0,,,,
2024-11-04 18:00:00,node-164,1.0216666666666667,2.0,2.0,4.0,59.626666666666665,294.8333333333333,1.3333333333333333,0.0
2024-11-04 18:00:00,node-172,0.0,0.0,4.0,4.0,54.95583333333334,1.0,0.0,30.0
2024-11-04 18:00:00,node-163,4.0025,4.0,0.0,4.0,,,,
2024-11-04 18:00:00,node-32,23.96083333333333,30.0,2.0,32.0,73.69010416666667,9017.0,20.947916666666668,0.0
2024-11-04 18:00:00,node-161,1.0666666666666667,2.0,2.0,4.0,56.3175,297.0,1.75,0.0
2024-11-04 18:00:00,node-162,4.045833333333333,4.0,0.0,4.0,114.56666666666666,7397.0,31.0,0.0
2024-11-04 18:00:00,node-11,44.3325,44.0,0.0,44.0,,,,
2024-11-04 18:00:00,node-12,44.13,44.0,0.0,44.0,,,,
2024-11-04 18:00:00,node-13,44.20083333333333,44.0,0.0,44.0,,,,
2024-11-04 18:00:00,node-165,4.0183333333333335,4.0,0.0,4.0,,,,
2024-11-04 18:00:00,node-166,1.0441666666666667,2.0,2.0,4.0,71.44833333333334,295.0,3.1666666666666665,0.0
2024-11-04 18:00:00,node-141,1.0075,2.0,2.0,4.0,72.43833333333333,294.6666666666667,1.4166666666666667,29.0
2024-11-04 18:00:00,node-15,0.04583333333333334,1.0,3.0,4.0,36.134166666666665,6863.0,0.0,0.0
2024-11-04 18:00:00,node-14,95.09500000000001,95.0,1.0,96.0,,,,
2024-11-04 18:00:00,node-16,0.0,0.0,4.0,4.0,34.4975,1.0,0.0,0.0
2024-11-04 19:00:00,node-32,26.260833333333334,30.0,2.0,32.0,119.99895833333333,9017.0,23.21875,0.0
2024-11-04 19:00:00,node-19,78.94916666666667,79.0,1.0,80.0,,,,
2024-11-04 19:00:00,node-18,26.028333333333332,36.0,0.0,36.0,,,,
2024-11-04 19:00:00,node-172,0.0,0.0,4.0,4.0,55.014166666666675,1.0,0.0,30.0
2024-11-04 19:00:00,node-171,0.0008333333333333334,0.0,4.0,4.0,59.693333333333335,1.0,0.0,30.0
2024-11-04 19:00:00,node-17,36.005,36.0,0.0,36.0,,,,
2024-11-04 19:00:00,node-167,4.0,4.0,0.0,4.0,,,,
2024-11-04 19:00:00,node-166,1.0325,2.0,2.0,4.0,75.875,298.6666666666667,2.0,0.0
2024-11-04 19:00:00,node-168,1.0116666666666667,2.0,2.0,4.0,63.37583333333333,294.8333333333333,1.3333333333333333,0.0
2024-11-04 19:00:00,node-163,4.0025,4.0,0.0,4.0,,,,
2024-11-04 19:00:00,node-164,1.0233333333333334,2.0,2.0,4.0,64.14666666666666,297.3333333333333,2.6666666666666665,0.0
2024-11-04 19:00:00,node-11,44.20916666666667,44.0,0.0,44.0,,,,
2024-11-04 19:00:00,node-12,44.12,44.0,0.0,44.0,,,,
2024-11-04 19:00:00,node-13,44.1525,44.0,0.0,44.0,,,,
2024-11-04 19:00:00,node-14,95.085,95.0,1.0,96.0,,,,
2024-11-04 19:00:00,node-165,4.0175,4.0,0.0,4.0,,,,
2024-11-04 19:00:00,node-15,0.021666666666666667,1.0,3.0,4.0,36.19916666666666,6863.0,0.0,0.0
2024-11-04 19:00:00,node-16,0.0,0.0,4.0,4.0,34.472500000000004,1.0,0.0,0.0
2024-11-04 19:00:00,node-161,1.0658333333333332,2.0,2.0,4.0,56.725,295.6666666666667,2.8333333333333335,0.0
2024-11-04 19:00:00,node-162,4.189166666666667,4.0,0.0,4.0,115.515,7397.0,44.416666666666664,0.0
2024-11-04 19:00:00,node-141,1.015,2.0,2.0,4.0,69.00750000000001,298.8333333333333,0.8333333333333334,29.0
2024-11-04 20:00:00,node-168,1.0083333333333333,2.0,2.0,4.0,63.373333333333335,296.5,2.3333333333333335,0.0
2024-11-04 20:00:00,node-17,36.00083333333333,36.0,0.0,36.0,,,,
2024-11-04 20:00:00,node-171,0.0008333333333333334,0.0,4.0,4.0,60.1775,1.0,0.0,30.0
2024-11-04 20:00:00,node-172,0.0016666666666666668,0.0,4.0,4.0,55.00416666666666,1.0,0.0,30.0
2024-11-04 20:00:00,node-18,26.0125,36.0,0.0,36.0,,,,
2024-11-04 20:00:00,node-19,78.92833333333333,79.0,1.0,80.0,,,,
2024-11-04 20:00:00,node-32,25.120833333333334,30.0,2.0,32.0,93.30624999999999,9017.0,17.291666666666668,0.0
2024-11-04 20:00:00,node-165,4.007499999999999,4.0,0.0,4.0,,,,
2024-11-04 20:00:00,node-167,4.0008333333333335,4.0,0.0,4.0,,,,
2024-11-04 20:00:00,node-166,1.015,2.0,2.0,4.0,75.55833333333332,297.3333333333333,2.25,0.0
2024-11-04 20:00:00,node-11,44.215,44.0,0.0,44.0,,,,
2024-11-04 20:00:00,node-163,4.0025,4.0,0.0,4.0,,,,
