日期,淨尖峰供電能力(萬瓩),尖峰負載(萬瓩),備轉容量(萬瓩),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1(萬瓩),核三#2(萬瓩),林口#1(萬瓩),林口#2(萬瓩),林口#3(萬瓩),台中#1(萬瓩),台中#2(萬瓩),台中#3(萬瓩),台中#4(萬瓩),台中#5(萬瓩),台中#6(萬瓩),台中#7(萬瓩),台中#8(萬瓩),台中#9(萬瓩),台中#10(萬瓩),興達#1(萬瓩),興達#2(萬瓩),興達#3(萬瓩),興達#4(萬瓩),大林#1(萬瓩),大林#2(萬瓩),和平#1(萬瓩),和平#2(萬瓩),麥寮#1(萬瓩),麥寮#2(萬瓩),麥寮#3(萬瓩),汽電共生(萬瓩),大潭 (#1-#6)(萬瓩),通霄 (#1-#6、GT#9)(萬瓩),興達 (#1-#5)(萬瓩),南部 (#1-#4)(萬瓩),大林(#5-#6)(萬瓩),海湖 (#1-#2)(萬瓩),國光 #1(萬瓩),新桃#1(萬瓩),星彰#1(萬瓩),星元#1(萬瓩),嘉惠#1(萬瓩),豐德(#1-#2)(萬瓩),協和 (#1-#4)(萬瓩),氣渦輪(萬瓩),離島(萬瓩),德基(萬瓩),青山(萬瓩),谷關(萬瓩),天輪(萬瓩),馬鞍(萬瓩),萬大(萬瓩),大觀(萬瓩),鉅工(萬瓩),大觀二(萬瓩),明潭(萬瓩),碧海(萬瓩),立霧(萬瓩),龍澗(萬瓩),卓蘭(萬瓩),水里(萬瓩),其他小水力(萬瓩),風力發電(萬瓩),太陽能發電(萬瓩)
20230327,3441.7,2977.5,464.2,15.59,358.071,244.299,0,0,0,0,95,94.1,0,75.9,76.1,46.5,46.1,46.9,46.2,0,49.8,5.1,0,48.4,0,0,37.7,0,42.8,75.9,76.2,60,60.1,42.3,42.5,57.2,100.1,355.3,283.3,178.6,77.4,47,82.4,49,46,51.4,45.8,119.3,86.2,13.8,0,8.4,3.1,7.9,3.2,2.7,1.5,2.3,0.6,0,15.3,37.2,0.5,0,0,2.8,0,11.3,132.3,57.8
20230328,3518.5,3010.8,507.7,16.86,367.405,250.666,0,0,0,0,95,94.2,0,75.9,76.1,44.2,44.3,48.4,40,0,47.3,22.2,0,38.5,0,0,23.7,0,26.4,75.6,76,58.3,60.1,47.5,28.8,57.3,99.1,333.6,282.3,173.7,70.4,41.4,92,49,47,50.2,32.5,113.7,98.8,13.5,0,8.2,3.9,5.9,3.3,3,1.6,0.4,1,0.1,15.3,61.6,0.5,0,1,0,0,6.8,114.9,173.1
20230329,3432.4,3054.1,378.3,12.38,372.808,254.353,0,0,0,0,94.9,94.1,0,75.9,76.1,51.3,51.6,52.4,51.6,0,51.9,51.2,0,49.3,0,0,37,0,43.1,75.7,76,58.9,59.6,50.2,47.3,57.2,99.7,350.1,295,181,82.6,53.9,85.3,46.4,46.8,47.7,47.4,119.3,93.7,13.4,0,8.7,1.3,1.4,2.6,2.4,1.1,0.3,1,0.2,15.3,37.5,0.5,0,1,0,0,5.9,79.1,86.8
20230330,3521.5,3036.6,484.9,15.97,371.591,253.522,0,0,0,0,94.8,94,0,76.1,76.2,45.6,44.2,45.7,46.3,0,47.8,45.9,0,45.2,0,23.1,24.4,0,26.3,75.9,76.2,59.7,59.6,35.5,35.4,57.2,98.2,349.9,286,179.9,80.8,53.4,86.3,46.8,47,44.2,47.8,111.5,94.7,13.7,0,8,3.3,2,2.9,2.6,1.5,0.3,1,0.2,15.5,35.8,0.5,0.6,1,0,0,4.5,103.5,149.9
20230331,3527.8,2971.7,556.1,18.71,367.512,250.74,0,0,0,0,94.9,94.1,0,75.9,76,42,42.1,44.2,42,0,44.2,43.3,0,40.5,0,23.3,23.4,0,0,75.9,76.2,59.7,60.1,33.3,33.5,57.3,87.6,329.3,275.6,178.9,62.5,49,86.9,44.4,46.8,45,45.6,119.3,91.8,13.7,0,8.4,0,1.5,2.9,2.6,1.4,0.3,2,0.6,15.2,12.3,0.9,1,0,0,0,4.2,101.7,222.5
20230401,3147.5,2694.1,453.4,16.83,331.908,217.039,0,0,0,0,94.8,0,0,76,76.1,38.2,37.6,38.2,38.2,39.2,38.3,38.2,0,42.9,44.2,26,47.3,32.4,31.4,75.8,76.2,59.7,60.1,39.5,28.8,57.2,60.3,326,284.9,183.4,81.1,53.8,43.3,48.8,46.8,48.1,48.1,110.5,0,14,0,9.8,1.3,1.1,2.2,1.8,0.9,0.6,1,0.1,42,65.5,2.9,1,2.5,3.4,0,16.1,29.6,2.3
20230402,3122.6,2568.2,554.4,21.59,312.135,204.109,0,0,0,0,94.8,0,0,76.2,76.3,37.4,27.5,28.6,27.5,28.6,28.4,33.1,0,34.8,28.6,23.3,23.4,33.6,33.5,75.8,76.2,57.8,58.3,28.6,28.7,45.2,61.1,346.2,284.5,194.5,76.8,53.8,44.4,48.6,46.8,51.4,49.8,0,0,13.8,0,9.1,3,10.6,2.3,2.1,1,0.4,1.3,0.3,31.2,84.2,1.2,1,2.6,4,0,11.5,95,0
20230403,3036,2569.5,466.5,18.16,312.337,204.24,0,0,0,0,95,0,0,76.1,76.2,37.3,37.3,36.1,36.3,38.7,38.3,40.7,0,34.9,28.7,23,23.1,26.5,26.8,75.5,75.9,59.6,60.1,27.6,28.8,57.3,92.5,365.2,284.1,168.8,77.1,53.8,43,48.3,41.8,48.2,47.5,0,0,14,0.3,9.4,3.3,7.9,2.6,2,1.2,0.4,0.4,0,29.8,81.2,2.9,1,2.9,3,0,16,30.6,3.2
20230404,3085.6,2640.4,445.2,16.86,318.806,208.47,0,0,0,0,95,0,0,75.8,76,46.8,46.6,47.6,46.6,48.5,47.8,48.2,0,42.5,43.2,22.8,23.6,36,35.4,75.6,76,57.9,46.9,27.6,28.7,57.2,50.8,315.4,283.5,179.2,83.5,53.9,43.7,46.4,0,47.1,47.1,113.4,0,14,0,9.5,4.9,11,3.1,2.9,1.6,0.4,0.9,0.1,30.1,66.2,1,1,1,2.3,0,15.9,17.4,3.2
20230405,3057.3,2685.7,371.6,13.84,319.238,208.754,0,0,0,0,95,0,0,76,75.9,51.9,51.9,52.5,51.5,51.6,51.9,53,0,49.5,50.5,23.1,23.8,51.6,50.7,75.8,76.2,57.6,58.4,28.4,30.1,54.2,50.8,336.4,283.5,187.2,80.7,53.8,44.2,47.7,0,49.6,46.7,50.3,0,14.1,0,9.6,6.1,8.7,3.2,2.9,1.6,0.4,1,0.2,30.2,66.7,1.9,1,2.1,2.5,0,14.8,18.7,0
20230406,3331.1,3081.3,249.8,8.11,363.527,237.714,0,0,0,0,94.9,0,0,76.1,75.7,51.9,51.8,51.7,51.5,53.2,52.7,53.1,0,48.2,50.7,41.4,47.5,0,51.7,75.5,76,59.4,60,53.9,54.3,57.2,89.3,334.6,303.1,199.5,83.5,53.8,87.8,47.4,46.5,51,52,119.3,0,42.3,0,13.6,2.2,4.1,2.7,2.5,1.5,0.4,1,0.2,26.3,61.9,0.5,1,1.1,0,0,5.2,2.9,130.2
20230407,3708.5,2973.2,735.3,24.73,359.972,235.39,0,0,0,0,95.1,0,0,76,76,27.4,27.5,28.6,27.6,25.5,24.1,42.4,0,34.7,49.5,47.8,47.5,0,51.7,75.7,76.1,59.6,59.9,28.6,28.8,57.2,49.2,289.5,277,195.6,65.9,38.8,88.7,43.6,47.2,46.1,49.3,119.2,0,14.1,0,8.3,2.9,1.6,2.2,2.1,0.7,0.5,0.7,1.1,14,20.1,0.5,1,0,0,0,4.1,128.2,365.7
20230408,3282.4,2657.6,624.8,23.51,327.786,214.343,0,0,0,0,95.1,0,0,76.2,76.1,23,23.6,24.1,23.7,23.9,23.7,33.5,0,34.7,28.6,23.1,23.8,0,47.1,75.8,76.2,59.9,60.1,28.5,28.7,57.2,45.3,317,277.2,195.4,72.7,44.5,46.1,48.5,47.1,52.7,0,119.3,99.7,13.8,0,8.7,3.1,2.6,2.4,1.7,0.8,0,1,0.2,39.1,65.8,2.9,1,3.1,3.9,0,16.3,117.8,6.3
20230409,3098.8,2610.1,488.7,18.72,313.776,205.181,0,0,0,0,95,0,0,76.1,76,45,45.6,42.7,42.3,34.2,47.2,43.2,0,40.7,41.1,23.2,24.3,32.7,34,75.8,76.2,56.6,57.8,28.5,28.7,57.2,47,334.8,283,207.3,83.3,22.2,0,48.9,0,51.9,53,50.4,51.4,13.8,0,9.1,3.2,6.5,3.5,3.3,1.7,0.4,1.3,0.6,51.3,69.5,5.3,1,2.1,1.8,0,15.9,26.9,0
20230410,3432.4,2987.4,445,14.9,351.411,229.792,0,0,0,0,95,0,0,76.2,76.2,45,47.3,45.5,44.9,41.6,44.1,46.5,0,48.6,45.7,34.6,21.6,0,37.1,75.9,76.2,59.2,58.5,33.5,34,57.2,43.4,362.5,293.2,203.6,83.4,51.7,86.3,43.2,46.4,45.9,46.3,119,99.3,13.5,0,8.5,3,6.4,4,2.7,1.4,1.3,1.1,0.2,29.4,42.8,0.5,1,0,0,0,8.1,1,165
20230411,3438.2,3098.8,339.4,10.95,366.939,239.946,0,0,0,0,94.9,0,0,76,76,50.1,49.8,50.4,50,48.4,51.1,53,0,46.8,49,47.7,47.4,0,51.9,76,76.2,59.3,59.3,42.9,43,57.2,42.7,330.6,279.2,198,76.3,48.5,45.9,48,45.9,50.5,52.1,119.1,97.9,35.4,0,10.8,3,4.7,2.6,2.5,0.9,0.4,2.1,1.7,24,62.1,0.5,1,0,0,0,4.8,0.6,221.6
20230412,3723.5,3160.6,562.9,17.81,373.629,244.32,0,0,0,0,95,0,0,75.9,75.9,43.7,43.7,44.6,43.6,48.5,39.7,44.8,0,43.5,48.8,47.6,39.8,0,52,75.8,76.2,58.8,60,31.7,31.9,57.3,44.8,340.6,263.3,197.4,72.3,31.7,43.8,43.2,45.6,51,45.3,104.9,91.7,13.6,0,8.5,0,2.4,2.9,2.6,1.3,0.3,1.8,0.5,15.7,16.2,0.5,1,0,0,0,3.7,69.8,439.3
20230413,3804.1,3222,582.1,18.07,379.742,248.317,0,0,0,0,94.9,0,0,75.7,75.9,48.4,48.6,49.2,48.6,45.3,49.2,49.2,0,47.6,50,47.9,47.6,0,51.6,75.8,76.2,59.7,60,37.5,37.6,57.3,43.4,380.1,255.8,191.7,70.5,24.3,45.7,46.8,45.9,51.6,52.8,119.2,97.8,13.4,0,8.1,0,3.2,2.9,2.6,1.3,0.3,3.8,0.6,15.7,20.6,0.5,0.9,0,0,0,4.1,49.9,395.3
20230414,3751.1,3237.5,513.6,15.86,381.962,249.769,0,0,0,0,95,0,0,75.4,75.6,51.3,51.4,51.9,51.5,52.6,52.9,47.9,0,47.7,44.1,47.2,38.8,0,52.1,75.7,76.1,59.3,60.1,36.5,36.5,57.3,43.2,347.1,244.5,206.9,77.2,38.3,45.8,46.4,45.4,50.1,51.4,107.7,94.4,14.1,0,7.9,0,3.2,1.9,1.7,0.8,0.3,0.8,0.2,16.5,34.5,0.5,0.9,0,0,0,4,2.7,487.7
20230415,3209.6,2812.6,397,14.12,354.054,231.52,0,0,0,0,95,0,0,76.3,76.4,50.8,50.9,49.5,49.6,51.5,51.7,53.2,0,48.1,49.4,47.6,47.5,0,51.6,75.5,76.1,59.5,60.1,37.6,37.5,57.2,37,362.3,219.3,212.1,79.3,22,44.3,43.2,46.5,49.5,0,108.9,97.5,14,0,9.3,3.9,4.4,8.7,8.3,5.4,0.4,2.7,0.8,34,69.1,0.5,0.9,0.6,2.9,0,15,28.8,3.7
20230416,3141,2778,363,13.07,335.011,219.067,0,0,0,0,95,0,0,76,76.2,52.1,51.9,51.4,51.5,52.1,52.4,53.1,0,49.5,49.5,42.7,42.7,33.8,51.9,75.8,76.2,58.4,58.3,36.7,36.9,57.3,37.6,395.5,231.2,202.9,74,29,0,47.8,0,50.2,51.5,50.3,98.9,13.7,0,10.3,3,8.6,7.7,7.7,5.2,0.3,1.5,0.5,30.3,82,1.9,0.9,3.1,4,0,15.7,0.4,0
20230417,3650.5,3282,368.5,11.23,378.095,247.241,0,0,0,0,95,0,12.7,75.9,76.1,51.4,51.8,50.9,51.5,52.6,52.7,51.4,0,50.4,52.5,46.2,46.5,39.6,52,75.6,76.1,59.4,60.1,42.3,42.6,57.2,43.7,382.5,228.4,192,64.4,52.6,45.8,47.7,45.6,50.3,51.5,119.2,95.7,15.3,0,8.5,2.8,2.2,2.5,2.3,1.1,0.3,2.7,0.3,2.7,0,0.5,0.9,0,0,0,4.5,2.4,506.6
20230418,3694.7,3363.2,331.5,9.86,392.051,256.366,0,0,0,0,95,0,75.8,75.8,76,51.6,51.5,52,51.5,53.2,50.6,52.9,0,49.6,50.8,48.1,47.1,52.1,51.8,75.8,76.1,59.8,60.1,57,57.1,57.3,43.2,397.8,241.8,188.1,75.3,53.9,45.6,47,45.2,50.4,51.5,119.1,91.7,39.7,0,13.6,3.1,1.1,2,1.9,0.8,2.3,3.5,0.7,15.6,39.4,0.5,0.9,0,0,0,14,0.9,298.7
20230419,3736.6,3395,341.6,10.06,396.89,259.531,0,0,0,0,95,0,76,76,76.1,51.6,51.5,51,51.5,53.1,52.1,52.9,0,49.3,51.2,48,47.6,51.8,52.1,75.8,76,59.2,60,57.2,57.2,57.3,37.9,396.9,197.4,192.6,77.9,50.2,43.2,46.5,44.9,46.3,48.2,113.2,93.6,21.6,0,10,0,1,1.7,1.6,0.7,0.3,1.1,0.1,13.4,36.1,0.5,0.4,0,0,0,5.3,122.4,323.6
20230420,3510.5,3268.4,242.1,7.41,387.165,253.172,0,0,0,0,95.1,0,75.7,75.8,75.9,50.9,51.4,50.3,51.5,53.3,52.5,53.1,0,49,51.4,47.1,47.5,52.1,51.9,75.9,76.2,59.3,59.9,57.2,50.8,57.3,38.2,394.8,211,221.6,80.6,53.8,45.9,48.3,46.1,50.7,51.9,119.1,97.4,39.7,4,14.7,1.5,2.4,0,0.2,0,2.5,1.1,0.2,12.2,41.9,0.5,0.8,0,5.1,0,6.9,3.2,198.2
20230421,3752.9,3208.1,544.8,16.98,378.154,247.279,0,0,0,0,94.9,0,76.2,76.1,76.3,46.3,50.7,48.1,50.5,53,49.9,53.2,0,43.4,46.9,47.7,47.1,52,51.9,75.9,76.2,59.8,60.2,32.9,33.2,57.2,34.2,397.2,189.4,202.5,73,22.8,43.1,3.5,46.4,24.8,51.2,119.2,93.8,13.7,0,8.2,0,0,1.1,1.5,0.8,0.5,1,0.3,8.3,45.3,0.5,1.6,1,4.9,0,6.7,87,323.1
20230422,3338,2775.5,562.5,20.27,346.327,226.467,0,0,0,0,94.8,0,76,76.2,76.2,46.8,46.8,47.1,47.1,38.6,37.9,38.1,0,37.8,38.2,47.8,41,51.9,52,75.8,76.2,59.5,60.1,28.5,28.7,57.2,34.7,383.4,226.7,193.3,80.6,22,44.1,0,46.7,50.4,0,68.9,49.2,13.8,0,8.8,0,0,0.9,1.5,0.7,0.7,1,0.3,46.8,77.1,3.8,1.2,0,7.9,0,16.6,69.9,6.3
20230423,3218.8,2739,479.8,17.52,330.172,215.903,0,0,0,0,94.9,0,75.9,76,76.2,50.7,51.6,51.2,51.5,51.5,52.6,48.1,0,47.3,48.9,41,40.8,51.9,52.1,75.8,76.2,55.5,57.5,28.5,28.8,57.2,33.3,359.8,236.8,201.9,76.4,22.1,0,43.9,0,46.8,47,44.9,46.7,13.3,0.3,9.3,0,0,0.7,0.9,0.7,0.5,2.6,0.9,29.8,79.9,3.9,1.2,3.5,8,0,16.4,26,0
20230424,3961.3,3157.7,803.6,25.45,367.944,240.603,0,0,0,0,94.8,0,75.8,75.8,76,46.8,46.7,42.6,41.8,43.3,42.7,53,0,47.4,48.5,43,42.5,52.1,51.9,75.8,76.2,59.7,60,28.5,28.7,57.3,39,321.2,178.5,198,59,22.1,39.5,39.1,41.7,45,45.2,96.6,89,13.9,0,8,0,0,1,0.9,0,0.5,2.9,0.5,15.1,16.2,0.5,1.2,0,1.8,0,4.2,107.4,430
20230425,3752.1,3114.6,637.5,20.47,371.334,242.82,0,0,0,0,94.9,0,74.8,76,76.1,46.9,46.1,46.1,46.3,47.7,47.2,53.1,0,44.3,46.9,29.7,42.8,51.1,51.1,75.8,76.2,59.8,60.1,28.5,28.8,57.2,36.5,385,217.9,196.1,73.5,22,42.9,49,46.6,25.1,46.9,75.6,91.9,13.8,0,9.6,0,0.8,1.2,1.5,0.3,0.5,2.5,0.8,24.1,12.9,0.5,1.2,0,0,0,3.2,52.7,339.4
20230426,3899.5,3037,862.5,28.4,364.888,238.605,0,0,0,0,94.8,0,74.9,76,76.3,37.2,28.3,38,27.9,28.8,28.3,52.5,0,34.8,34,47.3,30.2,45.3,51,56.6,76,59.3,60.2,28.6,28.8,57.4,36,326.6,265.3,192.8,68.4,22.1,42.4,43.3,46.9,0,25.8,68.8,49.1,13.8,0,8.1,0,1.3,2.2,2.3,1,0.5,0,0,0.1,18.8,0.5,1,0,0,0,4.3,126.5,476.7
20230427,3752.2,3093,659.2,21.31,367.988,240.632,0,0,0,0,94.8,0,75,76.1,76.3,39.5,39.6,40,40.6,40.9,40.9,52.9,0,36.5,37.2,33.5,33.4,51.2,51.2,75.8,76,59.5,60,28.6,28.7,57.2,71.8,362.9,242.7,191.4,72.7,22,44.9,48.2,46.2,45.9,45.2,102.7,90.1,13.8,0,8.2,2.7,2.7,6.5,1.9,0.9,2.4,3.5,2.1,15.8,20.3,0.5,1,0,2.8,0,4.8,94.7,246.5
20230428,4024.9,3199,825.9,25.82,376.713,246.337,0,0,0,0,94.8,0,75.9,75.9,76.1,38.5,38.5,32.7,40.6,35.6,28.3,53.1,0,40.9,32.5,42.9,42.7,51.1,51,75.9,76.2,59.7,60,28.6,28.7,57.2,54.7,368.7,271.6,189.2,74,27.1,44.2,47.6,45.7,5,46.1,69.7,44.7,13.8,0,5.9,0,1.1,2,2,0.9,0.5,4.6,1,15.5,33.2,0.5,1.3,0,0,0,7.7,25.4,530.3
20230429,3234.9,2842.2,392.7,13.82,351.999,230.176,0,0,0,0,94.7,0,76,75.9,76.2,51.3,51.1,52.1,51.4,52.2,52.1,51.3,0,49,50.1,43,42.7,51.6,51,75.8,76.1,57.4,0,37.1,37.3,57.3,38.7,334.2,277.3,201.4,76.2,22,45.8,0,0,50.3,25,119.2,96.5,13.6,0,9.7,6.2,11.2,7.3,6.8,5,0.4,2.6,0.7,31.8,70.9,4.9,0.8,2,4,0,12,0.1,13.4
20230430,3237.3,2621.5,615.8,23.49,325.09,212.58,0,0,0,0,94.7,0,76,76,76.2,42,42,42.5,41.9,43.1,42.6,0,0,38.4,38.4,33.5,32.8,51,51,75.5,75.9,57.4,0,28.5,28.7,57.3,37.3,335.6,278.3,189.2,75,22,0,43.5,0,47,47.6,0,95.2,18.8,0,8.8,6,7.4,4.7,3.3,2.5,0.4,3.4,1.2,29.2,63.2,2.9,1,3.1,4.1,0,13.6,99.9,0
20230501,3443.8,2694.3,749.5,27.82,303.528,205.484,0,0,0,0,94.4,0,75.9,76,76.1,32.1,32.2,28.8,27.5,28.3,28.3,0,0,35.2,28.6,34.1,37.8,50.6,50.5,75.3,75.8,59.4,60.2,28.6,28.8,57.3,47.6,390.7,282.7,189.4,78.9,22.1,39.5,0,46.6,0,45.3,68.9,48.8,27.7,0,9.2,4.2,10.9,4.9,4.1,2.7,0.4,2.8,0.7,30,67,0.5,1,3,4,0,12.2,97.5,0
20230502,4047.5,3254.2,793.3,24.38,347.671,235.367,0,0,0,0,94.4,0,75.6,75.7,75.9,51.6,51.5,51,51.4,52.7,52.5,0,0,42.1,48.4,47.6,47.5,51.1,50.5,75.8,76.2,59.9,60.1,36,20.1,57.4,68.6,336.3,260.3,185.7,60.3,22.1,63.4,39.2,44.9,48.3,31.7,78.3,52.2,27.6,5.8,8,0,2.5,2.3,2.2,1.1,0.4,2.8,0.3,14.8,15,0.5,0.9,0,0,0,5.2,52.1,489.6
20230503,4017.5,3380.4,637.1,18.85,366.011,247.784,0,0,0,0,94.3,0,75.8,75.8,76,47,46.6,47.4,46.6,45.8,44.9,0,0,42.7,46.5,43,42.6,52.2,51.8,75.8,76.2,59.7,60,33,33.1,57.3,72.5,392.1,277,186.3,68.5,22.1,88.3,22.7,44.8,46.6,46.8,105.8,92.3,40.4,0,8.4,2,1.7,3,2.3,1.3,0.3,3.8,0.8,15.6,19.5,0.5,0.9,0.3,0,0,12.2,2.7,479.6
20230504,4092.8,3436.4,656.4,19.1,373.505,252.857,0,0,0,0,94.6,0,75.5,75.7,75.9,46.9,47.2,50.2,48.7,43.2,48.1,0,0,44.7,51,41,47.6,52.1,52,75.8,76.2,59.6,60,41.9,41.9,57.4,67,341.5,273.6,189,62.9,22.1,85.1,46.9,44.4,45,45.6,118.9,92.4,40.3,0,8.2,1.6,1.6,2.7,2.2,0.9,0.3,2.1,0.4,13.7,15.3,0.5,0.9,0,0,0,10.9,3.5,550.7
20230505,4195.2,3558.2,637,17.9,383.143,259.382,0,0,0,0,94.6,0,75.9,75.7,76.1,51.1,51,51,49.8,51.7,43,0,0,46.9,50.6,47.7,47.3,52.2,52.2,75.8,76.2,59.3,60.1,43.7,43.8,57.3,68.4,368.6,268,189.4,70.4,22.1,81.9,45.4,44.3,45,45.4,114.8,89.9,28,0,8.1,3,1.7,2.4,2.3,0.9,0.4,3.9,1.4,15,14.9,0.5,1,0,0,0,5.7,108.5,540.4
20230506,4046.2,3090.6,955.6,30.92,356.506,241.348,0,0,0,0,94.2,0,76,76,76.3,22.8,23.4,24,23.4,24,23.2,0,0,34.9,28.6,47.4,47.5,52,52,75.8,76.1,59,60,30.8,31,57.3,46.3,365.1,270.5,192.4,76.8,22.1,83,0,43.8,46.3,46.2,6.2,45.1,27.8,0,8.4,2.9,1.9,2.2,2.1,1.1,0.3,3.9,0.8,15.7,35.5,0.5,0.9,1,0,0,5.7,79.7,491.8
20230507,3340.2,2814,526.2,18.7,327.1,221.442,0,0,0,0,94.9,0,75.9,76,76.1,46.8,46.6,47.3,46.6,48.6,47.8,0,0,49.3,48.9,47.6,47.5,52,52,75.7,76,55.1,57.2,47.2,47.1,57.2,47.6,364.5,271.8,185.2,66.3,22,0,47.8,0,44.8,0,68.9,88.8,27.5,0,9.9,2.6,5.7,0.8,1,0.2,2.1,0.5,0,28.9,47,1.9,0.9,2,6.2,0,16.6,92.8,0
20230508,3997.6,3114.6,883,28.35,340.966,230.829,0,0,0,0,94.5,0,76.1,76,76.3,22.4,23.3,24,23.5,24,23.2,0,0,42.6,28.5,40.8,37.8,47.1,47.2,75.8,76.2,59.4,60.2,28.5,28.7,52.6,80.7,379.4,269.9,185.1,64.3,22,86.8,0,46.4,44.6,45.4,68.8,44.8,13.9,0,7.8,0,0,0,0.3,1.2,0.5,0.9,0.1,30.5,15.4,0.5,1,9.7,8.1,0,7.5,134.5,422.9
20230509,3766.2,3037.3,728.9,24,339.618,229.915,0,0,0,0,94.7,0,75.8,75.8,76,46,46.6,51.5,51.2,52.5,52.6,0,0,43.1,43.8,47.6,42.2,51.9,52,75.6,75.8,59.7,60.1,28.5,37.8,57.3,62.8,378.7,263.8,174.8,65.5,22.1,90,47.2,46.7,49.7,0,68.9,51,13.8,0,7.5,0,0,0,0.4,0,0.9,0.6,0,0.1,0,0.5,1,0.9,4.8,0,10.7,128.2,274.8
20230510,3954,3131.9,822.1,26.25,342.468,231.845,0,0,0,0,94.5,0,75.8,75.8,76,32.2,32.1,32.9,32.7,33.6,33.1,0,0,43.4,33.4,47.2,32.8,52.1,52,75.7,76,59.6,60.2,28.6,37.7,57.2,74.6,352.1,250,188.6,61.3,22.1,68.2,46.9,45.9,5,46.5,68.9,45.9,13.6,0,7.5,0,0.7,0.7,0.7,0,4.4,2,0.1,15.4,24,0.5,1.2,0,1.8,0,6.7,123.4,440.6
20230511,3793.2,3171.8,621.4,19.59,349.715,236.751,0,0,0,0,94.5,0,75.9,76.1,76.2,46.4,51.6,51.3,51.5,52.1,52.7,17.6,0,51,51.5,47.4,47.5,52.2,52,75.8,76.2,59.4,60.1,28.6,37.7,57.3,68.5,300.4,250.1,187.6,59,43.9,82.5,41.5,12.4,45.6,46.2,68.9,90.7,13.6,0,8,0,0,2.7,2.7,0.8,4.6,1.6,0.2,8.2,0,0.5,1.2,1,0,0,8.1,73.9,417.8
20230512,3815.2,3205.9,609.3,19.01,353.339,239.204,0,0,0,0,95,59.5,76,76.1,76.3,46.9,37.3,51.3,46.7,48.4,47.7,52.9,0,47.7,47.4,43,42.5,47.2,47.1,75.6,76,59.7,60.1,37.4,46.3,0,75.2,317.2,258.8,189.3,65.9,34.1,87.1,40.6,45.6,45.2,45.2,67.9,92.3,13.7,0,8.2,0,1.1,1.7,2,0.8,4.2,2.9,0.8,1.4,27.8,0.5,1,0,0,0,6.9,26,379.2
20230513,3599.1,2746.7,852.4,31.03,322.309,218.198,0,0,0,0,95,94.2,76,76,76.3,35.1,36.5,36.9,35.1,33.3,32.7,33.1,0,35.1,33,43,42.7,47.2,47.1,75.8,76.2,59.7,59.9,28.6,37.8,0,52.3,331.4,251.3,199.7,68.5,22.1,85.9,39,0,0,46,68.9,89.2,13.9,0,9.5,6,11.9,8.7,8.3,5,2.5,2.1,0.6,29.3,62.7,0.5,1,0,4,0,14.2,23.3,6
20230514,3164.9,2696.5,468.4,17.37,304.33,206.026,0,0,0,0,95,94.3,76,76,76.2,41.2,41.9,38.6,38,38.6,38,38.2,0,35.7,33.2,43,42.6,47.2,47.1,75.8,76.1,56.5,55.7,28.5,37.8,0,50.7,355.8,270.7,220.3,83.4,22.1,45.9,48.2,0,50.9,0,0,48.8,13.7,0,9.6,3.1,7.2,8.6,8.1,5.2,3.6,2.6,0.9,36.2,68,0.5,1,3,4,0,17.1,0.3,0
20230515,3813.5,3122.9,690.6,22.11,339.873,230.089,0,0,0,0,94.9,94.2,75.8,75.7,76,37.1,37.9,38.6,36.9,38.5,37.9,53.1,0,38.2,38.5,43,42.6,47.2,47.1,75.8,76.2,59.3,60.1,28.5,37.7,48.7,89.7,347.1,267.4,171,64.8,38.9,88.2,45.7,45.5,3.5,45.2,68.8,90,13.8,0,8.6,0,1.1,1.7,1.7,0.6,3.1,1.8,0.5,16.3,14.8,0.5,1,1,0,0,7.6,1.2,314.1
20230516,3834.8,3264.5,570.3,17.47,355.547,240.699,0,0,0,0,94.9,94.2,76,75.9,76,46.7,46.7,47.8,46.5,42.7,42,53.1,0,43.4,43.6,43,42.8,47,42.4,76,76.2,59.3,60,28.5,41.4,57.3,118.9,360.1,279.7,190.9,75.3,28.9,45.3,47.1,0,23.9,46.5,68.8,92.1,13.9,4.6,8.4,0,1.9,2,1.9,0.9,0.7,2.5,0.8,12.2,0.8,0.5,1,0,0,0,6.2,9.1,409.2
20230517,3952.9,3392.1,560.8,16.53,368.341,249.36,0,0,0,0,94.8,94.1,75.9,75.8,76,36,36.2,37,36.6,37.1,36.7,53.1,0,41,41.9,43.1,42.7,47.2,36.8,75.8,76.2,59.2,60.1,28.5,37.7,57.3,133.7,383.4,245.8,183.6,74.2,22.1,73.3,46.4,44.6,4.3,50.9,68.7,93.5,14,0,8,0,1.1,2.1,2.1,0.9,0.4,2.6,0.8,16.6,44.9,0.5,1,0,0,0,4.2,1.4,508.8
20230518,3962.4,3510.4,452,12.87,382.537,258.972,0,0,0,0,95,94.3,76,75.9,76.2,40.5,47,47.4,46.5,48.5,47.8,53.1,0,41.8,40.1,43.2,42.7,47.2,47.1,75.8,76,58.7,61.1,28.6,42.6,57.3,133.7,390.8,247.6,184.8,75.6,28.9,86.7,42.8,44.1,23.8,40.2,68.7,93.1,14.1,0,9.8,0,1.2,2.2,2.1,1.1,0.6,2,0.6,33.8,19.2,0.5,1,0,0,0,5.1,118.9,393.3
