hour,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan
2024-11-04 14:00:00,338.745,363.0,101.0,464.0,701.2725,22989.375,65.5625,89.0
2024-11-04 15:00:00,347.4925,363.0,101.0,464.0,727.0759375,24519.208333333332,91.75,89.0
2024-11-04 16:00:00,386.78000000000003,401.5,62.5,464.0,740.7378125,24766.25,92.98958333333333,89.0
2024-11-04 17:00:00,415.5441666666667,435.66666666666663,28.333333333333332,464.0,700.7115625,24732.729166666664,61.010416666666664,89.0
2024-11-04 18:00:00,414.01166666666666,435.0,29.0,464.0,696.5467708333333,24756.833333333332,61.114583333333336,89.0
2024-11-04 19:00:00,416.19,435.0,29.0,464.0,750.023125,24765.333333333332,77.30208333333333,89.0
2024-11-04 20:00:00,415.00666666666666,435.0,29.0,464.0,730.9137499999999,24764.666666666664,65.04166666666666,89.0
2024-11-04 21:00:00,424.1691666666666,436.6666666666667,27.333333333333332,464.0,711.7854166666666,23419.645833333336,74.0625,89.0
2024-11-04 22:00:00,424.6766666666667,437.0,27.0,464.0,717.3916666666667,23417.5,73.63541666666667,89.0
2024-11-04 23:00:00,425.64833333333337,437.0,27.0,464.0,744.9072916666667,23413.666666666664,93.53125,89.0
2024-11-05 00:00:00,426.21999999999997,437.0,27.0,464.0,771.6154166666666,23414.0,75.97916666666667,89.0
2024-11-05 01:00:00,428.0125,436.3333333333333,27.666666666666668,464.0,721.4493749999999,22925.0625,77.92708333333333,89.0
2024-11-05 02:00:00,425.65833333333336,434.3333333333333,29.666666666666664,464.0,726.1878125,20916.833333333332,65.16666666666667,89.0
2024-11-05 03:00:00,427.1516666666667,436.3333333333333,27.666666666666664,464.0,720.2067708333333,22821.6875,77.8125,89.0
2024-11-05 04:00:00,425.15916666666664,435.33333333333337,28.666666666666668,464.0,758.6136458333333,23467.583333333332,82.57291666666666,89.0
2024-11-05 05:00:00,421.98,433.0,31.0,464.0,723.2294791666667,23467.25,80.69791666666667,89.0
2024-11-05 06:00:00,416.0833333333333,429.66666666666663,34.333333333333336,464.0,700.4808333333333,23462.416666666668,69.21875,89.0
2024-11-05 07:00:00,349.6075,368.0833333333333,95.91666666666667,464.0,708.5555208333334,23465.75,52.34375,89.0
2024-11-05 08:00:00,268.18583333333333,276.3333333333333,187.66666666666666,464.0,730.2088541666667,23464.25,102.5625,89.0
2024-11-05 09:00:00,228.31666666666666,236.75,227.25,464.0,702.27,23458.916666666668,88.95833333333334,89.0
2024-11-05 10:00:00,218.71333333333334,229.25,234.75,464.0,713.33375,23465.083333333332,85.75,89.0
2024-11-05 11:00:00,235.9975,245.0,219.0,464.0,728.7740625,23459.916666666664,102.5625,89.0
2024-11-05 12:00:00,239.4975,249.08333333333334,214.91666666666669,464.0,732.9761458333334,23460.916666666668,78.3125,89.0
2024-11-05 13:00:00,250.28750000000002,259.0,205.0,464.0,720.066875,23464.083333333332,95.1875,89.0
2024-11-05 14:00:00,249.57500000000002,259.0,205.0,464.0,721.9442708333333,23463.25,95.27083333333334,89.0
2024-11-05 15:00:00,250.11916666666667,259.0,205.0,464.0,714.5685416666666,23461.416666666668,96.28125,89.0
2024-11-05 16:00:00,249.7,259.0,205.0,464.0,717.4717708333333,23460.583333333332,90.51041666666667,89.0
2024-11-05 17:00:00,250.47833333333332,259.0,205.0,464.0,729.3334375000001,23468.75,100.16666666666666,89.0
2024-11-05 18:00:00,250.39416666666668,259.0,205.0,464.0,698.1311458333333,23449.583333333332,98.38541666666666,89.0
2024-11-05 19:00:00,251.76916666666668,259.0,205.0,464.0,730.9293749999999,23457.75,96.98958333333334,89.0
2024-11-05 20:00:00,251.03083333333333,259.0,205.0,464.0,741.865625,23464.416666666668,99.01041666666667,89.0
2024-11-05 21:00:00,250.52666666666667,259.0,205.0,464.0,729.3094791666666,23459.25,96.73958333333334,89.0
2024-11-05 22:00:00,250.81833333333333,259.0,205.0,464.0,709.7895833333333,23455.916666666668,105.29166666666666,89.0
2024-11-05 23:00:00,251.755,259.0,205.0,464.0,728.7896875,23459.916666666664,99.5,89.0
2024-11-06 00:00:00,247.5925,258.5833333333333,205.41666666666669,464.0,703.071875,23461.083333333332,70.02083333333334,89.0
2024-11-06 01:00:00,250.06166666666664,257.58333333333337,206.41666666666669,464.0,723.8247916666667,23465.583333333332,105.76041666666666,89.0
2024-11-06 02:00:00,247.7275,257.0,207.0,464.0,730.1642708333334,23457.75,92.125,89.0
2024-11-06 03:00:00,259.1483333333333,268.66666666666663,195.33333333333334,496.0,1079.5433333333333,23460.583333333332,90.27083333333334,89.0
2024-11-06 04:00:00,282.25,293.3333333333333,202.66666666666669,496.0,1068.063125,25292.25,128.92708333333334,89.0
2024-11-06 05:00:00,282.9925,293.0,203.0,496.0,1057.7970833333334,28075.75,131.55208333333334,89.0
2024-11-06 06:00:00,281.8075,293.0,203.0,496.0,1038.578125,28322.083333333332,125.0,89.0
2024-11-06 07:00:00,284.185,293.0,203.0,496.0,1064.435,28335.75,137.61458333333334,89.0
2024-11-06 08:00:00,299.0575,310.3333333333333,185.66666666666666,496.0,1063.3323958333333,28328.916666666668,121.29166666666666,89.0
2024-11-06 09:00:00,444.51916666666665,454.8333333333333,41.166666666666664,496.0,1010.5429166666667,28229.916666666668,116.47916666666667,89.0
2024-11-06 10:00:00,438.45666666666665,450.3333333333333,45.666666666666664,496.0,1023.0798958333334,27399.083333333332,98.0625,89.0
