hour,node,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan,cpu_load_change,cpu_alloc_change,cpu_idle_change,cpu_total_change,gpu_power_usage_change,gpu_mem_used_change,gpu_gpu_usage_change,gpu_fan_change
2024-11-04 15:00:00,node-141,1.0133333333333334,2.0,2.0,4.0,72.41666666666667,296.3333333333333,1.1666666666666667,29.0,0.01333333333333342,0.0,0.0,0.0,-0.6583333333333314,-4.666666666666686,-1.8333333333333333,0.0
2024-11-04 16:00:00,node-141,1.01,2.0,2.0,4.0,73.38666666666667,376.3333333333333,1.4166666666666667,29.0,-0.0033333333333334103,0.0,0.0,0.0,0.9699999999999989,80.0,0.25,0.0
2024-11-04 17:00:00,node-141,1.0058333333333334,2.0,2.0,4.0,72.70916666666666,295.8333333333333,1.4166666666666667,29.0,-0.004166666666666652,0.0,0.0,0.0,-0.6775000000000091,-80.5,0.0,0.0
2024-11-04 18:00:00,node-141,1.0075,2.0,2.0,4.0,72.43833333333333,294.6666666666667,1.4166666666666667,29.0,0.0016666666666667052,0.0,0.0,0.0,-0.2708333333333286,-1.1666666666666288,0.0,0.0
2024-11-04 19:00:00,node-141,1.015,2.0,2.0,4.0,69.00750000000001,298.8333333333333,0.8333333333333334,29.0,0.00749999999999984,0.0,0.0,0.0,-3.430833333333325,4.166666666666629,-0.5833333333333334,0.0
2024-11-04 20:00:00,node-141,1.0108333333333337,2.0,2.0,4.0,68.87333333333333,298.3333333333333,1.75,29.0,-0.004166666666666208,0.0,0.0,0.0,-0.13416666666667254,-0.5,0.9166666666666666,0.0
2024-11-04 21:00:00,node-141,1.0025,2.0,2.0,4.0,69.02666666666666,295.8333333333333,1.1666666666666667,29.0,-0.008333333333333748,0.0,0.0,0.0,0.15333333333332178,-2.5,-0.5833333333333333,0.0
2024-11-04 22:00:00,node-141,1.0008333333333332,2.0,2.0,4.0,69.0625,296.3333333333333,1.3333333333333333,29.0,-0.0016666666666667052,0.0,0.0,0.0,0.035833333333343376,0.5,0.16666666666666652,0.0
2024-11-04 23:00:00,node-141,1.0191666666666668,2.0,2.0,4.0,68.98416666666667,299.3333333333333,1.25,29.0,0.018333333333333535,0.0,0.0,0.0,-0.07833333333333314,3.0,-0.08333333333333326,0.0
2024-11-05 00:00:00,node-141,1.0175,2.0,2.0,4.0,69.53916666666667,297.8333333333333,1.0833333333333333,29.0,-0.0016666666666667052,0.0,0.0,0.0,0.5550000000000068,-1.5,-0.16666666666666674,0.0
2024-11-05 01:00:00,node-141,1.01,2.0,2.0,4.0,69.06833333333333,299.0,1.25,29.0,-0.007500000000000062,0.0,0.0,0.0,-0.47083333333334565,1.1666666666666856,0.16666666666666674,0.0
2024-11-05 02:00:00,node-141,1.0,2.0,2.0,4.0,69.19916666666667,352.5,1.5833333333333333,29.0,-0.010000000000000009,0.0,0.0,0.0,0.13083333333334224,53.5,0.33333333333333326,0.0
2024-11-05 03:00:00,node-141,1.0133333333333334,2.0,2.0,4.0,69.21499999999999,296.6666666666667,2.0833333333333335,29.0,0.01333333333333342,0.0,0.0,0.0,0.015833333333318933,-55.833333333333314,0.5000000000000002,0.0
2024-11-05 04:00:00,node-141,1.0158333333333334,2.0,2.0,4.0,72.24166666666666,298.3333333333333,1.1666666666666667,29.0,0.0024999999999999467,0.0,0.0,0.0,3.026666666666671,1.6666666666666288,-0.9166666666666667,0.0
2024-11-05 05:00:00,node-141,1.0066666666666666,2.0,2.0,4.0,72.14,295.3333333333333,1.75,29.0,-0.009166666666666767,0.0,0.0,0.0,-0.10166666666665947,-3.0,0.5833333333333333,0.0
2024-11-05 06:00:00,node-141,1.0091666666666663,2.0,2.0,4.0,72.10666666666667,295.8333333333333,2.6666666666666665,29.0,0.0024999999999997247,0.0,0.0,0.0,-0.03333333333333144,0.5,0.9166666666666665,0.0
2024-11-05 07:00:00,node-141,1.0016666666666667,2.0,2.0,4.0,68.93916666666667,299.8333333333333,1.0833333333333333,29.0,-0.007499999999999618,0.0,0.0,0.0,-3.167500000000004,4.0,-1.5833333333333333,0.0
2024-11-05 08:00:00,node-141,1.0125,2.0,2.0,4.0,68.75333333333333,298.5,1.0833333333333333,29.0,0.01083333333333325,0.0,0.0,0.0,-0.18583333333333485,-1.3333333333333144,0.0,0.0
2024-11-05 09:00:00,node-141,1.0125,2.0,2.0,4.0,68.78750000000001,300.1666666666667,1.9166666666666667,29.0,0.0,0.0,0.0,0.0,0.034166666666678225,1.6666666666666856,0.8333333333333335,0.0
2024-11-05 10:00:00,node-141,1.0033333333333332,2.0,2.0,4.0,68.64583333333333,294.6666666666667,1.6666666666666667,29.0,-0.009166666666666767,0.0,0.0,0.0,-0.14166666666667993,-5.5,-0.25,0.0
2024-11-05 11:00:00,node-141,1.0116666666666667,2.0,2.0,4.0,68.70416666666667,299.6666666666667,1.3333333333333333,29.0,0.008333333333333526,0.0,0.0,0.0,0.05833333333333712,5.0,-0.3333333333333335,0.0
2024-11-05 12:00:00,node-141,1.018333333333333,2.0,2.0,4.0,68.6575,297.1666666666667,0.75,29.0,0.0066666666666663765,0.0,0.0,0.0,-0.046666666666666856,-2.5,-0.5833333333333333,0.0
2024-11-05 13:00:00,node-141,1.0083333333333333,2.0,2.0,4.0,69.075,298.5,1.4166666666666667,29.0,-0.009999999999999787,0.0,0.0,0.0,0.417500000000004,1.3333333333333144,0.6666666666666667,0.0
